awsCategory,Code,Name,Summary,URL
Research,ADV 490,Customer Experience & Business Consulting,"As an experiential learning class, this course covers advanced techniques of consumer experience research with an emphasis on planning real-world client projects. Build professional research portfolios. (more on Explorer) Taught by Dr. Chang-Dae Ham. You may also like: ADV 396, 490, 482, 484, 496.",https://courses.illinois.edu/schedule/2023/fall/ADV/490
Research,ADV 496,Undergrad Research Project,,
Public Relations,ADV 310,Introduction to Public Relations,"Introduces the student to the practice and profession of public relations. Course material covers topics such as the history of public relations, the role of… (more on Explorer) First of four courses in the PR minor. Taught by Dr. Jacqueline Hitchon. You may also like: ADV 199, 201, 301, 314, 350.",https://courses.illinois.edu/schedule/2023/fall/ADV/310
Public Relations,ADV 314,Sports Public Relations,"Sports public relations is designed to show the management function of developing and sustaining two-way lines of communication, understanding, acceptance, and cooperation between a sports organization… (more on Explorer) Second of four courses in PR minor. Taught by Steve Raquel. You may also like: ADV 199, 301, 350, 409, 410.",https://courses.illinois.edu/schedule/2023/fall/ADV/314
Public Relations,ADV 350,Writing for Public Relations,"Focuses on the strategy of crafting and delivering PR messages to various audiences with special emphasis on pre-writing, preparation, revision and presentation... (more on Explorer) Third of four courses in PR minor. Taught by Dr. Jacqueline Hitchon. You may also like: ADV 410, 199, 201, 301, 490.",https://courses.illinois.edu/schedule/2023/fall/ADV/350
Public Relations,ADV 410,Public Relations Strategies,"Examines the intersection of PR strategies and communication tactics used by organizations to meet reputation and relationship management objectives with relevant publics and stakeholders… (more on Explorer) The fourth of four courses in the PR minor. You may also like: ADV 290, 301, 393, 409, 491.",https://courses.illinois.edu/schedule/2023/fall/ADV/410
Sales,ADV 270,Principles of Sales,"This course focuses on the development of the sales process and the role of sales and sales people within organizations. It will also consider consultative… (more on Explorer) Taught by Dionne Clifton. First of four courses in Sales certificate. You might also like: ADV 320, 150, 201, 310, 409.",https://courses.illinois.edu/schedule/2023/fall/ADV/270
Sales,ADV 320,Sales Management,"This course addresses conceptual and methodological issues related to the management of sales within organizations. Responsibilities, function and skills necessary to be an effective sales… (more on Explorer) Second of four courses for Sales certificate. Taught by Dionne Clifton. You may also like: ADV 290, 301, 370, 392, 409.",https://courses.illinois.edu/schedule/2023/fall/ADV/320
Sales,ADV 370,Sales and the Consumer,"This course focuses on different topics related to consumer behavior management, and the consumer's relationships to the sales process. It will include case studies and… (more on Explorer) Third of four courses for Sales Certificate. Taught by Dionne Clifton. You may also like: ADV 495, 401, 290, 490, 201.",https://courses.illinois.edu/schedule/2023/fall/ADV/370
Sales,ADV 495,Media Sales Capstone,"Reserved for students in the Media Sales Certificate program. Please contact the instructor, Dionne Clifton, for more information on registering for this course. Note: students should contact Professor Clifton AFTER a sales internship has been secured... (more on Explorer) You may also like: ADV 370, 409, 490 (Cust. Experience and Bus. Consluting), 495.",https://courses.illinois.edu/schedule/2023/fall/ADV/495
